trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9999691576447897}",30,0,-144.0298790496851,"{0: 19, 1: 4, 2: 3, 3: 2, 4: 2}",0
2,False,"{'a': 0.3, 'e': 0.9998766324816606}",20,0,-103.58335254486603,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
3,False,"{'a': 0.3, 'e': 0.9997224302180006}",20,0,-83.30231783111171,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.3, 'e': 0.9995065603657316}",30,7,-192.99671201809406,"{0: 10, 1: 3, 2: 5, 3: 3, 4: 2}",1
5,False,"{'a': 0.3, 'e': 0.9992290362407229}",20,0,-45.03482896318307,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.3, 'e': 0.99888987496197}",20,0,-161.35967231906895,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.3, 'e': 0.9984890974505379}",25,0,-89.04969038887916,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.3, 'e': 0.9980267284282716}",35,0,-264.96413306992935,"{0: 15, 1: 2, 2: 13, 3: 3, 4: 2}",0
9,False,"{'a': 0.3, 'e': 0.99750279641627}",20,12,-6.9336870218494155,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.3, 'e': 0.996917333733128}",20,0,-148.31837096962386,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.3, 'e': 0.9962703764929413}",20,0,-74.22341487747175,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.3, 'e': 0.99556196460308}",20,0,-69.93025262414795,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.3, 'e': 0.9947921417617265}",20,0,-82.82595886474982,"{0: 14, 1: 0, 2: 2, 3: 4, 4: 0}",0
14,False,"{'a': 0.3, 'e': 0.9939609554551797}",20,0,-145.9826731050512,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.3, 'e': 0.9930684569549263}",20,0,-62.223581571055774,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.3, 'e': 0.9921147013144779}",20,0,-169.60426824132279,"{0: 6, 1: 3, 2: 8, 3: 2, 4: 1}",0
17,False,"{'a': 0.3, 'e': 0.9910997473659748}",20,0,-40.60334857500129,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
