trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-34.56591392759824,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.00492245142013,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.04043142200783,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.27711626886813,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.34318953186893,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-236.35240486893247,"{0: 16, 1: 5, 2: 11, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.22596035613321,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.83631504062164,"{0: 15, 1: 0, 2: 1, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-213.64808348156222,"{0: 10, 1: 0, 2: 4, 3: 3, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,2,-102.99029651825073,"{0: 19, 1: 3, 2: 3, 3: 2, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.35776527248966,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.36769992054356,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.16296768233072,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.9477785785138,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.30497475129167,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,15,0.6244424696373045,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.58896388515511,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,12,-12.726633804547154,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,18,0.9928592239211422,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.61361442759228,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-233.77930887605223,"{0: 16, 1: 1, 2: 9, 3: 0, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-131.64239527992976,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-147.61331219580336,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-106.20866873636234,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-174.5168384564127,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-66.61839944834153,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-53.60016907587646,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-103.16548170923332,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-66.47485013648108,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-134.91665057012267,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
